Age,Potential,Wage,Preferred Foot,Weak Foot,Position,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,Positioning,Vision,Penalties,GKPositioning,GKReflexes,Value
27,88,€165K,Right,3,LW,5'4,130lbs,86,77,56,85,74,90,87,93,94,86,94,83,93,75,53,75,44,83,87,61,9,10,€62M
26,91,€315K,Right,3,LW,5'9,174lbs,75,79,55,89,65,94,88,95,75,69,87,77,90,69,64,70,59,78,89,76,15,6,€73.5M
26,91,€205K,Right,5,CAM,5'11,168lbs,88,80,52,91,77,84,86,91,75,73,79,88,81,84,50,92,58,83,91,67,7,6,€73.5M
26,89,€340K,Right,4,LW,5'8,150lbs,79,79,48,88,75,91,91,92,89,75,92,83,93,83,59,79,61,84,90,70,14,6,€69.5M
29,88,€265K,Right,4,LM,6'2,176lbs,77,88,79,77,86,79,80,82,93,95,76,87,70,82,79,76,76,90,77,76,9,9,€59M
29,88,€160K,Right,3,LCB,6'3,203lbs,64,55,87,81,60,68,65,81,53,64,63,87,60,71,68,66,84,56,79,68,5,6,€46M
30,88,€285K,Left,4,LB,5'9,176lbs,90,70,75,84,54,90,85,92,83,82,86,88,86,83,76,91,78,85,82,59,5,9,€43M
28,88,€355K,Left,3,ST,6'1,181lbs,87,86,84,85,85,87,90,85,94,95,82,85,65,92,87,75,80,85,79,76,5,6,€60M
31,88,€150K,Left,1,GK,6'2,181lbs,13,10,10,50,11,10,11,34,65,62,55,85,54,23,74,41,43,10,30,40,83,92,€36M
30,88,€245K,Right,4,LS,6'1,196lbs,68,92,80,75,90,84,74,85,73,73,75,86,69,86,79,70,85,92,74,70,5,10,€57M
33,88,€165K,Right,3,RCB,6'0,181lbs,60,38,81,80,63,62,61,80,70,72,68,82,68,71,90,74,82,59,72,60,9,10,€24M
33,88,€110K,Right,2,GK,6'4,203lbs,12,10,10,36,12,12,12,16,51,55,47,83,36,22,78,41,71,12,41,23,89,89,€30M
40,88,€77K,Right,2,GK,6'4,203lbs,13,15,13,37,17,26,20,28,49,43,55,79,49,39,75,39,69,12,50,22,90,83,€4M
24,92,€205K,Left,3,CB,6'0,165lbs,69,51,79,81,70,69,72,77,71,73,68,82,66,83,89,78,84,58,58,61,12,15,€57M
25,90,€130K,Right,4,ST,5'11,165lbs,46,91,91,73,85,77,58,81,77,78,76,88,76,84,94,72,76,92,64,82,7,9,€64.5M
27,90,€115K,Right,3,LCB,6'2,196lbs,30,19,81,66,14,66,28,60,68,75,50,80,40,55,81,71,94,24,43,33,13,5,€51M
25,91,€210K,Right,4,RDM,6'4,185lbs,80,73,73,86,85,87,84,90,71,79,74,81,64,90,83,88,89,81,87,81,4,3,€64M
31,87,€195K,Right,3,GK,6'1,176lbs,11,15,11,30,11,16,11,19,54,53,60,84,61,21,74,39,75,16,68,25,82,90,€30.5M
25,89,€230K,Left,3,ST,6'3,207lbs,78,87,86,77,79,80,74,72,77,90,60,86,46,88,71,84,94,89,76,78,7,10,€62.5M
28,87,€115K,Right,4,ST,6'1,187lbs,55,90,81,74,87,83,70,83,78,85,77,87,63,86,77,80,76,91,65,78,12,6,€52M
29,87,€250K,Left,3,LB,5'7,150lbs,87,73,70,84,60,80,80,84,93,93,90,83,85,64,81,91,61,79,70,59,6,13,€38M
31,87,€135K,Right,4,RF,5'7,134lbs,77,86,35,82,70,91,82,89,93,85,94,88,92,80,60,75,42,87,83,79,10,4,€45M
31,87,€155K,Left,3,LCB,6'2,190lbs,68,56,80,79,52,71,58,76,61,65,61,84,60,80,85,75,79,60,68,66,12,7,€34M
30,87,€125K,Right,5,LCM,6'0,174lbs,78,79,74,88,79,86,80,87,69,68,76,88,66,82,71,84,67,88,86,70,14,14,€46.5M
30,87,€260K,Right,3,RCM,6'0,172lbs,84,83,58,87,80,84,88,87,66,59,72,77,66,84,39,84,66,79,86,82,5,9,€46.5M
31,87,€240K,Right,3,RCB,6'4,187lbs,57,64,83,81,57,59,58,78,49,60,58,84,36,62,74,65,83,58,62,69,15,8,€34M
22,92,€195K,Left,3,LW,6'0,165lbs,83,81,72,79,85,88,82,85,93,96,88,81,81,86,64,79,70,84,82,71,9,14,€61M
23,91,€180K,Left,3,RW,5'8,141lbs,85,75,51,85,69,92,83,91,84,74,90,82,88,70,50,78,48,83,86,68,12,9,€59.5M
24,90,€125K,Left,3,GK,6'2,190lbs,20,14,14,56,18,23,15,37,64,63,60,86,48,42,58,41,68,20,67,17,82,87,€41.5M
26,87,€195K,Right,4,LM,5'9,152lbs,73,84,62,79,71,87,74,86,95,93,91,86,86,82,75,84,67,87,82,71,7,14,€52M
26,88,€165K,Right,3,LCB,6'4,203lbs,53,52,82,76,45,70,60,73,74,77,61,85,49,81,85,71,92,41,59,62,11,11,€44.5M
23,89,€195K,Right,3,RW,5'7,152lbs,77,77,38,84,67,88,70,87,95,92,93,87,93,73,57,78,52,87,77,69,15,9,€56.5M
26,87,€195K,Right,4,CAM,5'11,168lbs,72,87,77,86,81,87,80,88,78,77,80,86,81,81,81,90,74,87,85,72,6,10,€53M
25,91,€210K,Right,3,RCB,6'3,179lbs,36,40,83,75,42,57,46,77,83,85,63,83,40,52,79,73,84,44,56,43,5,14,€50M
25,89,€135K,Right,4,LCM,5'5,132lbs,72,60,55,90,64,90,73,88,69,62,87,85,94,56,64,77,52,71,87,64,15,10,€55M
27,86,€160K,Left,3,LB,5'11,176lbs,84,55,76,81,68,80,78,81,83,86,79,84,78,80,79,92,79,70,70,60,12,5,€36.5M
27,86,€175K,Left,3,LM,5'8,154lbs,84,67,50,84,76,92,84,91,97,93,93,84,91,86,61,78,63,76,84,77,12,5,€46.5M
28,86,€135K,Right,4,CAM,6'1,165lbs,79,87,82,83,84,75,81,82,73,75,75,91,72,78,81,87,68,92,85,60,14,14,€45M
27,86,€130K,Right,3,CM,5'9,154lbs,72,69,54,90,90,90,85,90,78,69,90,84,86,75,75,75,59,79,86,75,9,13,€45.5M
29,86,€100K,Right,4,LM,5'11,157lbs,79,87,49,86,90,87,89,86,86,85,86,87,81,88,70,73,67,88,86,89,13,11,€43.5M
28,86,€175K,Right,3,RB,5'10,168lbs,81,46,76,81,51,69,68,77,76,76,72,88,73,68,76,87,71,62,74,66,6,5,€35M
31,86,€160K,Right,3,RCB,6'3,187lbs,44,48,86,77,58,69,56,75,57,65,60,84,52,74,85,71,83,38,74,70,2,4,€30M
29,87,€150K,Right,3,RCB,6'1,179lbs,64,45,82,79,38,62,63,74,61,66,60,86,50,78,84,74,79,58,67,58,16,14,€39M
28,86,€180K,Right,4,CDM,5'10,159lbs,80,60,60,89,72,86,86,89,66,66,77,84,79,78,61,78,66,70,88,79,7,8,€44M
31,86,€160K,Right,3,CB,6'2,207lbs,45,47,83,65,44,64,34,64,65,75,59,82,53,66,85,69,91,38,47,41,7,11,€30M
29,86,€190K,Left,2,CAM,5'11,168lbs,83,73,54,89,80,84,84,90,72,69,79,84,70,70,48,69,57,83,91,67,6,14,€43.5M
33,86,€185K,Right,4,CDM,5'10,148lbs,68,69,63,85,74,77,70,82,68,67,72,86,78,83,76,79,76,70,75,61,13,7,€18M
34,86,€21K,Right,4,LF,5'7,150lbs,77,70,54,90,74,90,80,92,70,67,79,86,84,65,47,55,58,81,93,71,13,7,€21.5M
23,92,€82K,Right,4,LCB,6'2,176lbs,40,42,80,70,40,59,34,67,70,73,48,81,48,50,78,77,83,30,57,56,8,12,€46.5M
23,90,€73K,Right,4,CM,6'3,168lbs,64,80,86,85,74,86,78,87,68,70,66,80,59,83,85,85,88,79,85,56,16,7,€50.5M
22,92,€215K,Left,3,RW,6'0,168lbs,82,82,50,83,79,86,83,85,85,82,79,82,76,86,58,76,61,82,84,62,12,10,€54M
24,89,€92K,Left,3,CAM,5'8,165lbs,83,82,49,83,77,90,81,89,79,79,90,80,91,84,69,80,82,81,81,81,14,15,€50M
25,90,€115K,Right,3,GK,6'3,201lbs,17,13,19,45,20,27,19,30,54,45,40,84,37,21,52,32,78,13,66,23,84,88,€36.5M
23,88,€92K,Right,4,RCM,5'9,154lbs,90,66,74,85,61,80,81,85,78,68,84,85,83,75,79,85,65,80,79,44,15,15,€40.5M
23,90,€77K,Left,4,RCM,6'0,170lbs,69,78,83,85,76,83,72,85,74,73,76,82,69,78,79,86,77,82,82,55,10,9,€50.5M
27,85,€205K,Left,4,RW,5'10,148lbs,81,80,48,82,72,91,84,90,88,83,93,77,88,79,61,76,54,80,81,73,11,6,€40.5M
26,87,€110K,Left,4,LB,5'11,168lbs,81,63,75,82,68,79,78,83,79,86,79,84,77,83,82,87,71,76,77,80,15,9,€38M
26,86,€88K,Right,4,LM,5'9,163lbs,86,72,61,90,56,82,85,86,71,68,74,85,78,84,61,90,79,84,87,59,10,13,€45M
27,86,€180K,Right,4,ST,5'9,161lbs,64,88,73,80,81,85,74,83,81,84,85,85,85,83,76,79,73,86,76,84,5,6,€45M
27,87,€96K,Right,2,LCB,6'2,183lbs,27,10,80,60,16,54,30,65,80,85,68,85,59,40,86,76,82,25,22,26,15,12,€37.5M
30,85,€170K,Right,3,CB,6'0,179lbs,52,54,85,75,57,51,50,70,57,61,64,79,62,69,92,67,80,51,53,45,11,12,€28.5M
29,85,€66K,Right,4,RCM,6'0,163lbs,84,79,61,90,72,78,89,84,51,43,66,78,72,78,51,78,72,81,86,83,14,8,€37M
29,85,€235K,Right,3,LDM,6'0,157lbs,64,81,85,84,75,82,66,84,73,73,69,84,66,83,90,92,81,84,78,71,6,8,€37M
28,87,€125K,Right,3,GK,6'5,198lbs,12,12,16,32,14,11,16,22,51,47,55,82,51,15,71,45,65,14,48,18,85,87,€32M
29,85,€215K,Right,3,RW,5'7,163lbs,77,80,73,77,83,87,79,86,86,79,90,83,87,84,87,83,72,84,82,77,12,13,€37.5M
28,85,€28K,Right,3,LM,5'9,146lbs,79,76,46,79,73,93,84,86,87,75,92,84,87,69,72,85,49,83,79,75,7,7,€39M
29,85,€115K,Right,4,RCB,6'4,198lbs,69,34,85,75,52,64,53,70,67,72,56,82,52,78,74,69,91,47,75,46,6,5,€30M
31,85,€205K,Right,4,CAM,5'11,165lbs,76,75,82,83,78,76,76,82,60,55,74,84,75,86,85,83,79,80,80,81,2,4,€26M
29,85,€110K,Right,5,LM,6'1,176lbs,83,79,80,81,81,84,73,85,84,88,78,81,74,84,84,89,78,85,79,76,9,6,€37.5M
32,85,€115K,Right,5,ST,6'4,185lbs,63,89,84,77,77,76,65,84,65,66,57,83,36,86,66,76,80,89,74,67,15,15,€30.5M
31,85,€160K,Right,4,RCM,6'2,198lbs,72,72,76,85,78,81,68,84,54,60,55,87,54,82,68,78,87,79,82,69,15,8,€33M
29,85,€100K,Right,4,LS,6'2,190lbs,65,87,82,65,81,77,62,83,74,76,58,85,53,83,64,76,92,87,74,75,8,11,€38.5M
30,85,€105K,Right,3,CAM,5'9,170lbs,73,75,59,84,75,80,73,85,78,73,76,87,82,84,76,93,77,86,76,63,8,11,€35.5M
35,85,€38K,Right,4,CB,6'6,201lbs,45,57,94,76,60,60,52,68,60,65,46,85,36,92,45,61,83,53,59,60,8,14,€9M
31,85,€145K,Left,2,LM,5'11,165lbs,75,64,68,83,72,78,65,79,79,77,83,84,79,78,84,94,76,72,76,56,10,14,€26M
33,85,€96K,Right,3,CB,6'1,172lbs,48,43,80,70,51,67,32,73,66,69,61,81,57,70,82,65,79,43,58,49,13,12,€15.5M
30,85,€240K,Right,4,ST,6'1,179lbs,75,81,80,83,82,83,79,86,76,76,76,83,66,81,73,75,80,86,85,82,5,7,€37M
32,85,€81K,Left,3,LB,6'0,163lbs,86,59,72,80,56,77,74,83,76,75,75,85,62,71,71,89,74,71,70,65,9,5,€21.5M
32,85,€170K,Right,3,CB,6'3,187lbs,61,45,84,73,46,63,61,70,52,59,57,87,41,75,72,66,87,41,59,63,8,6,€22M
35,85,€57K,Right,3,RCB,6'2,179lbs,46,46,80,70,23,58,44,62,65,70,63,83,49,63,76,60,86,40,48,57,9,10,€9M
36,85,€15K,Right,4,RS,6'5,209lbs,73,86,83,79,86,79,82,84,58,59,75,82,39,90,68,61,86,85,79,89,9,12,€14M
22,88,€105K,Right,3,RCB,6'2,174lbs,36,40,80,77,28,63,30,73,72,79,60,80,55,66,73,76,83,34,49,44,6,15,€34M
23,88,€63K,Right,3,RCB,6'1,176lbs,47,37,81,68,30,47,36,56,69,70,56,76,43,72,92,67,85,24,27,38,10,15,€34M
25,87,€22K,Left,2,LB,5'11,157lbs,89,65,74,83,67,82,87,82,84,85,73,83,70,80,81,92,68,76,74,68,11,14,€32M
24,88,€135K,Left,3,LCB,6'2,187lbs,58,45,85,76,40,59,61,73,62,66,45,83,55,68,75,67,82,54,57,44,14,5,€34M
23,88,€22K,Right,3,LCM,5'10,152lbs,84,73,58,85,84,83,85,85,79,76,77,84,78,87,72,89,67,79,86,81,8,14,€40.5M
22,90,€84K,Right,3,CB,6'5,214lbs,30,20,86,78,31,42,28,63,52,84,33,79,33,77,38,65,94,26,30,32,7,15,€36.5M
22,90,€165K,Right,3,LW,6'0,168lbs,76,84,69,77,74,87,84,86,88,89,85,81,81,84,74,75,75,83,73,81,15,11,€42.5M
22,90,€115K,Right,3,LCM,6'2,176lbs,69,83,77,85,79,83,75,85,73,76,76,85,62,78,67,90,71,86,85,74,11,8,€42.5M
24,88,€120K,Right,2,CDM,6'2,172lbs,79,66,75,83,47,76,71,82,69,72,69,83,67,78,75,92,79,70,75,91,8,8,€34M
24,89,€90K,Right,3,LDM,6'0,165lbs,72,33,80,81,31,59,49,76,73,76,69,81,68,53,86,75,74,46,51,31,10,13,€35.5M
26,86,€38K,Right,4,CDM,6'2,183lbs,68,52,73,84,50,80,79,79,49,53,51,75,51,59,69,84,90,64,83,60,14,14,€31.5M
26,87,€155K,Right,3,CM,5'11,148lbs,75,57,56,89,71,82,75,85,75,69,80,83,73,71,58,79,66,72,87,84,14,8,€38M
25,87,€72K,Left,3,RM,5'10,154lbs,83,81,75,83,74,85,86,86,87,80,86,83,71,83,76,83,66,83,80,74,10,9,€39M
26,87,€185K,Right,3,RB,5'8,161lbs,83,41,70,81,34,76,72,83,79,84,81,82,79,64,76,84,74,61,57,45,9,15,€31.5M
24,89,€93K,Right,3,ST,5'9,172lbs,79,79,65,80,74,85,85,85,87,87,82,79,79,87,74,79,80,83,82,75,12,10,€42M
25,85,€125K,Right,5,LM,6'0,143lbs,78,85,65,79,79,88,81,85,88,87,82,84,76,86,63,85,63,85,80,71,6,10,€37M
27,86,€72K,Left,2,GK,6'0,179lbs,19,18,16,32,13,15,15,21,63,64,67,84,62,20,82,36,73,9,48,16,81,88,€25M
26,86,€88K,Right,4,CB,6'2,172lbs,49,25,80,71,27,63,45,71,67,69,61,80,59,65,76,66,80,32,59,41,14,13,€31.5M
25,89,€105K,Right,3,GK,6'2,170lbs,11,11,12,33,19,19,15,23,57,56,70,79,30,23,75,30,52,12,44,21,79,90,€29.5M
30,84,€150K,Right,3,RAM,5'10,159lbs,80,67,58,80,70,90,78,85,89,93,91,80,82,84,75,78,61,78,76,65,6,9,€29.5M
30,84,€45K,Left,3,ST,5'9,148lbs,80,88,78,79,83,86,80,85,85,78,87,85,74,79,68,75,60,86,75,82,12,13,€30M
26,87,€115K,Right,4,GK,6'3,183lbs,9,9,13,45,10,16,9,22,46,52,52,80,44,23,73,43,68,7,54,23,85,82,€27M
29,84,€165K,Left,3,CDM,6'4,187lbs,71,64,74,84,73,80,72,79,52,59,44,83,50,83,67,84,85,69,73,64,14,9,€24M
28,84,€74K,Right,3,GK,6'4,187lbs,11,11,11,15,9,10,11,20,38,44,43,83,39,14,69,34,55,9,53,20,82,88,€22M
28,84,€51K,Right,3,RDM,5'10,165lbs,68,72,51,86,58,78,76,83,66,57,71,84,75,69,63,77,68,79,86,50,14,12,€31M
28,84,€165K,Right,2,RB,6'0,154lbs,81,51,74,78,57,79,76,78,86,93,67,83,72,86,83,89,75,67,69,63,15,8,€24.5M
27,84,€175K,Right,4,CM,5'11,176lbs,74,73,50,88,75,85,81,86,67,68,78,85,78,77,61,69,72,79,86,76,5,13,€32M
31,84,€105K,Right,3,RM,5'10,161lbs,82,78,65,80,84,82,73,85,88,89,85,82,80,78,73,91,55,88,78,62,11,11,€27.5M
30,84,€125K,Left,2,RM,5'11,152lbs,83,72,51,82,77,86,84,85,85,84,92,80,77,83,72,73,60,82,82,73,12,11,€29.5M
32,84,€160K,Right,3,ST,6'3,187lbs,72,84,90,75,86,76,64,77,67,73,67,86,53,80,85,83,85,90,74,76,8,15,€25M
29,84,€175K,Right,4,RW,5'9,172lbs,76,77,31,80,59,88,82,84,91,86,89,82,79,79,41,85,60,80,83,70,7,13,€30.5M
29,85,€42K,Right,3,GK,6'2,192lbs,24,14,13,39,15,15,23,14,59,54,62,79,58,24,73,41,73,12,46,15,82,84,€24M
30,84,€31K,Right,4,CDM,5'9,157lbs,80,66,49,88,65,84,83,86,68,64,79,77,83,74,57,74,67,75,88,78,7,10,€29M
29,84,€77K,Right,4,LCM,6'2,179lbs,69,71,80,89,77,78,69,84,67,74,78,84,60,78,76,86,82,75,79,81,10,7,€24M
31,84,€75K,Right,4,CAM,5'9,170lbs,87,78,59,84,77,86,90,90,75,72,79,75,80,80,48,73,72,79,87,74,14,12,€27.5M
34,84,€25K,Right,5,ST,5'11,163lbs,70,88,84,76,85,84,85,88,65,64,77,85,69,84,69,66,63,87,83,84,8,5,€16.5M
30,84,€140K,Right,2,RCB,6'1,187lbs,47,44,85,60,46,58,29,58,64,73,60,81,64,77,86,69,86,49,45,24,12,5,€23M
31,84,€41K,Right,3,GK,6'2,205lbs,11,11,12,33,13,12,17,15,45,50,51,78,55,21,72,37,76,12,49,25,85,82,€19M
32,84,€115K,Right,4,RS,5'10,159lbs,55,86,89,79,84,75,83,82,69,66,76,85,75,79,91,68,75,88,70,81,9,5,€25M
31,84,€78K,Right,3,GK,6'2,196lbs,18,12,16,44,15,12,13,40,59,60,62,81,47,36,60,34,64,13,59,26,80,88,€19M
32,84,€88K,Right,3,RCB,6'3,181lbs,38,27,77,74,31,59,53,71,54,53,53,82,56,65,77,55,82,30,57,37,9,8,€18M
30,84,€53K,Right,4,LS,5'5,150lbs,82,76,38,82,72,89,79,87,94,86,92,83,94,76,70,75,48,81,85,72,9,6,€30M
37,84,€95K,Right,3,CB,6'2,192lbs,40,21,72,65,35,64,50,65,61,77,52,80,64,54,81,53,83,28,62,60,2,4,€4.2M
34,84,€80K,Right,4,RM,5'9,148lbs,92,67,41,79,80,89,94,88,84,82,91,78,84,79,63,65,55,78,84,74,5,15,€15.5M
34,84,€110K,Left,2,RM,5'11,176lbs,80,85,51,82,86,89,90,88,83,76,87,85,90,86,60,64,67,84,80,78,5,15,€15.5M
21,92,€155K,Left,5,RW,5'10,148lbs,78,78,43,78,76,90,78,83,93,92,90,82,85,83,59,73,46,79,84,75,10,13,€40M
21,92,€130K,Right,3,ST,5'9,161lbs,66,84,74,76,72,86,76,85,87,85,92,86,91,78,77,84,68,88,77,78,6,15,€41M
26,83,€51K,Right,4,RW,5'10,165lbs,83,74,64,83,76,85,86,83,88,87,85,84,76,82,64,86,70,82,83,77,15,13,€28M
26,83,€43K,Right,3,LCB,6'1,176lbs,40,38,83,74,44,56,45,70,83,78,77,85,68,53,69,76,73,38,42,56,15,10,€22.5M
26,83,€60K,Right,3,ST,6'2,183lbs,56,85,83,73,82,75,59,74,79,83,55,84,55,85,84,56,87,83,58,77,19,20,€28.5M
22,89,€82K,Left,3,LCB,6'2,176lbs,62,31,79,79,33,58,50,78,75,78,74,79,65,55,77,80,84,39,60,50,15,9,€30.5M
23,88,€120K,Right,4,CM,5'8,141lbs,62,74,42,88,71,88,64,88,78,60,89,82,90,76,53,82,58,74,81,58,14,9,€34M
23,88,€85K,Right,3,CM,5'11,179lbs,67,75,82,84,62,77,66,81,75,66,75,83,74,82,90,87,77,79,80,70,9,14,€34M
22,89,€64K,Left,2,LM,5'7,137lbs,83,75,54,84,78,85,85,86,86,84,87,80,86,79,71,79,63,77,85,68,7,14,€35.5M
22,87,€85K,Right,3,LM,5'10,157lbs,81,76,52,77,77,88,84,83,95,93,87,81,84,77,75,76,61,79,75,70,3,5,€34M
22,88,€67K,Right,4,CB,6'5,214lbs,35,20,80,74,24,55,30,64,64,77,48,82,44,44,72,63,93,27,61,38,9,14,€29.5M
24,90,€18K,Left,4,CAM,6'3,176lbs,78,80,77,81,76,82,86,84,77,76,76,79,65,84,58,76,72,86,81,71,12,10,€36.5M
22,87,€70K,Right,4,RW,5'11,165lbs,69,87,76,77,82,83,62,84,93,93,81,86,76,74,78,83,59,85,61,72,15,9,€34.5M
23,87,€91K,Left,3,CM,6'4,176lbs,70,69,77,85,72,79,73,83,73,74,79,83,72,80,73,82,80,76,80,69,7,15,€33M
23,88,€85K,Right,4,CM,6'2,174lbs,75,72,75,84,68,81,76,83,84,79,76,83,70,77,67,86,70,77,82,60,11,9,€34M
26,84,€28K,Right,4,RM,5'9,159lbs,79,86,60,78,69,84,75,82,90,91,87,82,79,82,82,83,61,79,81,74,7,13,€30.5M
25,86,€28K,Left,2,RAM,5'11,143lbs,84,68,53,86,77,83,90,83,76,74,85,82,78,80,38,86,59,75,88,73,8,14,€32.5M
27,83,€205K,Right,4,RW,5'8,154lbs,86,73,52,83,54,82,82,83,84,79,79,85,84,82,68,90,57,81,83,56,9,7,€27M
24,86,€20K,Right,4,LM,5'11,161lbs,78,79,53,77,68,88,81,87,89,87,88,83,71,84,68,74,59,81,71,74,10,10,€33M
26,85,€53K,Left,4,LS,5'11,170lbs,61,83,80,78,79,78,71,81,77,80,70,82,69,81,72,72,74,83,58,73,12,10,€32M
29,83,€22K,Right,3,RCB,6'3,190lbs,45,39,81,74,44,57,32,62,60,67,52,77,57,46,90,78,86,34,50,47,9,7,€20M
24,89,€165K,Right,4,LCM,5'9,172lbs,73,62,42,87,76,88,78,89,84,74,81,70,85,79,63,82,65,69,88,59,7,7,€35M
23,91,€84K,Right,4,GK,6'1,187lbs,25,11,17,32,18,10,25,16,34,33,41,79,39,25,71,37,51,15,55,24,80,84,€28.5M
26,84,€49K,Right,4,RCM,5'10,165lbs,72,71,74,86,63,80,80,83,68,65,76,82,72,81,77,77,63,77,84,65,7,8,€30M
22,88,€85K,Right,4,ST,5'9,165lbs,74,81,46,79,83,87,64,83,92,90,87,80,88,85,64,68,68,80,74,68,9,7,€34.5M
24,88,€78K,Left,4,GK,6'1,170lbs,17,19,15,55,20,14,18,40,53,44,55,83,55,31,72,45,70,18,68,41,81,86,€25M
27,86,€67K,Right,3,CB,6'2,174lbs,35,34,85,72,27,47,34,68,55,61,61,82,49,43,87,58,77,29,41,37,13,12,€26M
24,87,€125K,Right,4,RCB,6'2,154lbs,62,29,83,81,27,69,47,80,67,71,61,82,59,46,75,79,77,48,67,44,10,8,€28.5M
24,86,€115K,Left,3,RW,5'9,154lbs,84,70,50,86,72,88,87,89,83,77,86,78,84,78,50,77,56,76,84,72,8,9,€33M
